Presenter,Title,Conference,Year from,Year to,invited?,international?,comment
Kei Kotake,Neutrinos and multi-messenger signatures for a galactic supernova,Neutrinos and multi-messenger signatures for a galactic supernova,2018,,yes,yes,-
Kei Kotake,Gravitational-wave and Neutrino Signatures from core-collapse supernovae ,"GW-genesis workshop on ""Deciphering multi-dimensional nature of core-collapse SuperNovae via gravitational-wave and neutrino signatures"" (SNeGWv2018)",2018,,yes,yes,keynote
Kei Kotake,Gravitational-wave and neutrino signatures from core-collapse supernovae: review and perspectives ,Gamma-ray bursts and supernovae: from the central engines to the observer,2018,,yes,yes,-
Kei Kotake,Neutrino and Gravitational-wave Signatures from Core-Collapse Supernovae ,"Gravitational-waves, ElectroMagnetic and Dark-Matter, Physics (GEMMA2018)",2018,,yes,yes,-
Kei Kotake,Exploding and Non-Exploding Core-Collapse Supernova Models in 3D and the Multi-messenger Analysis ,TDLI Workshop on the Exploding Universe,2018,,yes,yes,-
"Nobuyuki Kanda, on behalf of KAGRA collaboration",Status of KAGRA toward the observation in 2019-2020 ,Deciphering multi-Dimensional nature of core-collapse SN via GW and neutrino signature(SNeGWv2018),2018,,yes,yes,keynote
神田展行,キャリブレーションの系統誤差効果を考慮したKAGRAシミュレーションデータ,日本物理学会 2018年秋季大会 ,2018,,no,no,-
"Nobuyuki Kanda, on behalf of KAGRA collaboration",Status of KAGRA ,LSC-Virgo Meeting ,2018,,yes,yes,-
"Nobuyuki Kanda, on behalf of KAGRA collaboration",KAGRA data management : Toward Phase-II and O3 ,4th KAGRA international workshop ,2018,,no,yes,-
