DOI, refereed?, open access?, international collaboration?, comment
https://doi.org/10.1007/s41114-018-0012-9,yes,yes,yes,Abbott2018
https://doi.org/10.1038/s41550-018-0658-y,yes,no,yes,KAGRA18 Nature Astonomy
https://doi.org/10.1088/1361-6471/aadeae,yes,yes,yes,O'Connor18
https://doi.org/10.1093/mnrasl/sly055,yes,no,yes,Hayama18
https://doi.org/10.1093/mnrasl/sly059,yes,no,yes,Kuroda18
